index,gene_symbol-0,n_cells-0,n_cells-1,means,dispersions,dispersions_norm
LINC00115,LINC00115,118,18,0.0053401515,0.42135978,0.39373985
NOC2L,NOC2L,1930,258,0.086383924,0.33080012,0.123046316
HES4,HES4,2779,145,0.17436546,0.8004963,1.5270237
ISG15,ISG15,17561,1206,2.9736693,4.110111,1.4955173
TNFRSF18,TNFRSF18,1511,92,0.08817407,0.8966254,1.8143649
TNFRSF4,TNFRSF4,1379,155,0.08967217,0.90497977,1.8393371
SDF4,SDF4,2332,340,0.10301778,0.37879255,0.2665014
CPSF3L,CPSF3L,1456,202,0.06717679,1.4126705,3.3568847
GLTPD1,GLTPD1,436,77,0.020564675,0.26745632,-0.066295765
MXRA8,MXRA8,5,5,0.0005058988,0.23542967,-0.1620272
RP4-758J18.2,RP4-758J18.2,910,100,0.03956794,0.37036708,0.24131665
MRPL20,MRPL20,4571,677,0.20957403,0.4405209,0.45101473
ATAD3C,ATAD3C,17,9,0.0016874662,1.9094117,4.8417025
AL645728.1,AL645728.1,79,28,0.004579321,0.30844802,0.056233253
RP11-345P4.9,RP11-345P4.9,265,37,0.011701034,0.24446648,-0.1350151
MIB2,MIB2,614,177,0.030618133,0.4809842,0.5719643
CDK11A,CDK11A,1154,164,0.047490172,0.22615966,-0.18973637
PRKCZ,PRKCZ,147,34,0.007244588,0.5268317,0.70900786
C1orf86,C1orf86,2102,501,0.10168947,0.5060189,0.64679587
RER1,RER1,6519,608,0.27881628,0.51317555,-0.07828067
RP3-395M20.12,RP3-395M20.12,283,165,0.018152568,0.21641424,-0.21886657
RP3-395M20.9,RP3-395M20.9,84,12,0.0043142787,0.3102489,0.06161634
FAM213B,FAM213B,127,38,0.007107406,0.48555094,0.5856148
MMEL1,MMEL1,21,13,0.0015270909,0.25184816,-0.1129504
TTC34,TTC34,14,4,0.0007600942,0.26124984,-0.084847674
TPRG1L,TPRG1L,265,49,0.011164271,0.22909941,-0.1809491
TP73-AS1,TP73-AS1,93,31,0.004456686,0.2842557,-0.0160804
LRRC47,LRRC47,798,120,0.035486914,0.35278958,0.18877542
CEP104,CEP104,728,62,0.031379905,0.41555682,0.37639412
DFFB,DFFB,104,25,0.0050947177,0.29570752,0.018150413
C1orf174,C1orf174,1411,141,0.060013972,0.30748278,0.053348042
ICMT,ICMT,301,67,0.014854267,0.22012645,-0.20777035
GPR153,GPR153,15,4,0.000950689,0.6328772,1.0259904
TNFRSF25,TNFRSF25,1432,170,0.07129062,0.6486648,1.0731813
NOL9,NOL9,256,42,0.011733064,0.27422908,-0.046051193
ZBTB48,ZBTB48,345,64,0.015542437,0.27028814,-0.057831127
THAP3,THAP3,793,81,0.033503756,0.30783534,0.05440189
CAMTA1,CAMTA1,3359,241,0.13452111,0.21918236,-0.21059234
TNFRSF9,TNFRSF9,288,11,0.014280533,0.91003966,1.8544618
ENO1-AS1,ENO1-AS1,51,13,0.0027381931,0.23772456,-0.15516752
CA6,CA6,402,4,0.022018963,0.61779046,0.9808943
SLC2A5,SLC2A5,44,4,0.0016622444,0.27184534,-0.05317647
GPR157,GPR157,122,3,0.004887509,0.3808382,0.27261603
